time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T13:56:13.097Z,62.897,-150.5383,83.9,1.5,ml,,,,0.57,ak,ak020ddhgnol,2020-10-17T14:01:05.580Z,earthquake,,0.8,,,automatic,ak,ak
2020-10-17T13:45:32.060Z,36.0838333,-117.8531667,3.24,0.98,ml,16,131,0.0337,0.14,ci,ci39666080,2020-10-17T16:23:50.577Z,earthquake,0.32,0.54,0.179,15,reviewed,ci,ci
2020-10-17T13:45:17.720Z,38.1692,-117.9045,6,1.3,ml,12,78.08,0.031,0.03,nn,nn00779128,2020-10-17T13:48:28.339Z,earthquake,,0.4,,,automatic,nn,nn
2020-10-17T13:45:08.840Z,40.1985,-121.0483333,3,1.43,md,8,223,0.2875,0.15,nc,nc73471936,2020-10-17T17:15:05.862Z,earthquake,0.88,8.16,0.088,9,reviewed,nc,nc
2020-10-17T13:34:34.160Z,33.2895,-116.3191667,10.79,0.8,ml,23,128,0.08479,0.26,ci,ci39666064,2020-10-17T13:38:21.010Z,earthquake,0.55,0.84,0.123,18,automatic,ci,ci
2020-10-17T13:25:55.631Z,38.1491,-117.9448,12,2.5,ml,25,37.42,0.016,0.1338,nn,nn00779125,2020-10-17T17:22:56.217Z,earthquake,,0.6,0.11,13,reviewed,nn,nn
2020-10-17T13:25:25.750Z,38.8348351,-122.8176651,1.34,0.56,md,13,70,0.01287,0.02,nc,nc73471926,2020-10-17T13:27:01.534Z,earthquake,0.24,0.51,,1,automatic,nc,nc
2020-10-17T13:19:47.280Z,38.8165016,-122.7911682,3.51,0.55,md,17,61,0.008807,0.06,nc,nc73471911,2020-10-17T13:34:05.454Z,earthquake,0.38,0.79,,1,automatic,nc,nc
2020-10-17T13:18:23.750Z,33.467,-116.5681667,10.61,0.76,ml,29,78,0.03965,0.16,ci,ci39666048,2020-10-17T16:24:19.870Z,earthquake,0.24,0.42,0.153,20,reviewed,ci,ci
2020-10-17T13:18:16.450Z,38.1493,-117.835,27.7,0.8,ml,11,105.89,0.016,0.09,nn,nn00779123,2020-10-17T13:26:47.622Z,earthquake,,6.3,,,automatic,nn,nn
2020-10-17T13:07:54.990Z,35.8085,-117.6238333,5.6,0.6,ml,11,79,0.02258,0.16,ci,ci39666040,2020-10-17T16:24:19.479Z,earthquake,0.47,0.85,0.095,8,reviewed,ci,ci
2020-10-17T13:05:24.820Z,19.18950081,-155.4638367,30.56999969,1.98000002,md,44,110,,0.170000002,hv,hv72184656,2020-10-17T13:08:45.740Z,earthquake,0.51,0.899999976,1.13,15,automatic,hv,hv
2020-10-17T13:03:26.610Z,32.8625,-116.1813333,7.41,1.27,ml,30,73,0.09993,0.21,ci,ci39666032,2020-10-17T16:25:30.050Z,earthquake,0.34,0.91,0.146,24,reviewed,ci,ci
2020-10-17T12:54:11.980Z,38.776165,-122.4420013,8.25,1.69,md,7,82,0.0299,0.13,nc,nc73471906,2020-10-17T14:21:06.791Z,earthquake,0.6,1.85,0.11,6,automatic,nc,nc
2020-10-17T12:44:41.750Z,38.8033333,-122.7841644,0.32,0.56,md,13,100,0.009857,0.04,nc,nc73471901,2020-10-17T13:56:04.622Z,earthquake,0.28,0.58,0.37,2,automatic,nc,nc
2020-10-17T12:43:48.227Z,62.1586,-149.6858,10.4,1.8,ml,,,,0.64,ak,ak020ddgsih7,2020-10-17T12:48:08.215Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T12:38:14.940Z,38.1852,-117.8907,4.5,1.1,ml,11,71.98,0.004,0.24,nn,nn00779119,2020-10-17T12:50:08.069Z,earthquake,,1.9,,,automatic,nn,nn
2020-10-17T12:11:16.020Z,38.786499,-122.7343369,1.96,0.55,md,9,85,0.02433,0.01,nc,nc73471891,2020-10-17T13:05:04.360Z,earthquake,0.32,1.25,0.04,2,automatic,nc,nc
2020-10-17T11:49:46.220Z,38.2282,-117.822,0.7,0.9,ml,11,126.79,0.035,0.24,nn,nn00779113,2020-10-17T12:38:27.835Z,earthquake,,16.2,,,automatic,nn,nn
2020-10-17T11:45:15.370Z,38.8051682,-122.7854996,0.05,0.55,md,12,77,0.008154,0.03,nc,nc73471886,2020-10-17T12:03:06.802Z,earthquake,0.23,0.59,,1,automatic,nc,nc
2020-10-17T11:42:18.710Z,18.2163,-67.2411,24,3.04,md,20,160,0.0963,0.19,pr,pr2020291004,2020-10-17T14:01:24.447Z,earthquake,0.67,1.06,0.19,18,reviewed,pr,pr
2020-10-17T11:39:31.950Z,38.1653,-117.876,6.7,1.3,ml,12,143.46,0.037,0.07,nn,nn00779111,2020-10-17T11:50:47.732Z,earthquake,,0.4,,,automatic,nn,nn
2020-10-17T11:34:00.130Z,35.6838333,-117.6156667,6.37,0.95,ml,9,145,0.1101,0.13,ci,ci39666024,2020-10-17T16:24:50.608Z,earthquake,0.43,1.32,0.177,12,reviewed,ci,ci
2020-10-17T11:31:08.760Z,19.43916702,-155.610672,-1.840000033,1.79,ml,17,96,,0.129999995,hv,hv72184551,2020-10-17T11:36:39.520Z,earthquake,0.42,0.419999987,0.09,3,automatic,hv,hv
2020-10-17T11:31:06.700Z,36.6196671,-121.2825012,5.72,1.43,md,8,109,0.02733,0.15,nc,nc73471881,2020-10-17T12:40:08.062Z,earthquake,0.68,1.42,0.24,6,automatic,nc,nc
2020-10-17T11:26:06.580Z,44.5396667,-114.3573333,3.53,1.75,ml,12,67,0.718,0.3,mb,mb80470704,2020-10-17T14:54:43.970Z,earthquake,0.64,3,0.392,7,reviewed,mb,mb
2020-10-17T11:21:57.480Z,38.8364983,-122.8203354,1.86,0.57,md,9,86,0.01202,0.03,nc,nc73471876,2020-10-17T11:23:35.536Z,earthquake,0.4,1.37,,1,automatic,nc,nc
